time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-02-28 00:00:00+00:00,1.0,1.0,17,1
2021-03-01 00:00:00+00:00,,,13,3
2021-03-02 00:00:00+00:00,3.0,3.0,23,2
2021-03-03 00:00:00+00:00,,,19,2
2021-03-04 00:00:00+00:00,2.0,2.0,18,1
2021-03-05 00:00:00+00:00,1.0,1.0,12,1
2021-03-06 00:00:00+00:00,,,30,8
2021-03-07 00:00:00+00:00,6.0,5.0,61,4
2021-03-08 00:00:00+00:00,,,17,3
2021-03-09 00:00:00+00:00,,,8,2
2021-03-10 00:00:00+00:00,,,9,6
2021-03-11 00:00:00+00:00,,,3,1
2021-03-12 00:00:00+00:00,,,4,2
